comments_num,director,name,order,score,screenwriter,type
362990,今敏,红辣椒 パプリカ,No.97,9.0,"水上清资,今敏,筒井康隆","科幻,动画,悬疑,惊悚"
500486,梅尔·吉布森,勇敢的心 Braveheart,No.96,8.9,兰道尔·华莱士,"剧情,动作,传记,历史,战争"
318095,托马斯·温特伯格,狩猎 Jagten,No.95,9.1,"托马斯·温特伯格,托比亚斯·林道赫姆",剧情
917893,蒂姆·波顿,剪刀手爱德华 Edward Scissorhands,No.94,8.7,"蒂姆·波顿,卡罗琳·汤普森","剧情,爱情,奇幻"
734219,戈尔·维宾斯基,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,No.93,8.8,"泰德·艾略特,特里·鲁西奥,斯图尔特·贝亚蒂耶,杰·沃尔伯特","动作,奇幻,冒险"
575957,奉俊昊,杀人回忆 살인의 추억,No.92,8.9,"奉俊昊,金光林,沈成宝","剧情,动作,悬疑,惊悚,犯罪"
679405,詹姆斯·曼高德,致命ID Identity,No.91,8.8,迈克尔·库尼,"剧情,悬疑,惊悚"
615409,中岛哲也,被嫌弃的松子的一生 嫌われ松子の一生,No.90,8.9,"中岛哲也,山田宗树","剧情,歌舞"
812242,"周星驰,李力持",喜剧之王 喜劇之王,No.89,8.8,"曾瑾昌,周星驰,李敏,郑文辉,冯勉恒,梁嘉杰","剧情,喜剧,爱情"
246172,查理·卓别林,摩登时代 Modern Times,No.88,9.3,查理·卓别林,"剧情,喜剧,爱情"
814039,大卫·芬奇,七宗罪 Se7en,No.87,8.8,安德鲁·凯文·沃克,"剧情,悬疑,惊悚,犯罪"
529119,王家卫,春光乍泄 春光乍洩,No.86,9.0,王家卫,"剧情,爱情,同性"
663606,大卫·叶茨,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,No.85,8.9,"史蒂夫·克洛夫斯,J·K·罗琳","奇幻,冒险"
755129,韦斯·安德森,布达佩斯大饭店 The Grand Budapest Hotel,No.84,8.9,"韦斯·安德森,雨果·吉尼斯,斯蒂芬·茨威格","剧情,喜剧,冒险"
595821,格斯·范·桑特,心灵捕手 Good Will Hunting,No.83,8.9,"本·阿弗莱克,马特·达蒙",剧情
701848,昆汀·塔伦蒂诺,低俗小说 Pulp Fiction,No.82,8.9,"昆汀·塔伦蒂诺,罗杰·阿夫瑞","剧情,喜剧,犯罪"
789165,"埃里克·布雷斯,J·麦基·格鲁伯",蝴蝶效应 The Butterfly Effect,No.81,8.8,"J·麦基·格鲁伯,埃里克·布雷斯","剧情,科幻,悬疑,惊悚"
805512,马丁·斯科塞斯,禁闭岛 Shutter Island,No.80,8.8,"莱塔·卡罗格里迪斯,丹尼斯·勒翰","剧情,悬疑,惊悚"
729798,乔纳森·戴米,沉默的羔羊 The Silence of the Lambs,No.79,8.9,"托马斯·哈里斯,泰德·塔里","剧情,惊悚,犯罪"
349211,赛尔乔·莱昂内,美国往事 Once Upon a Time in America,No.78,9.2,"皮耶罗·德·贝纳迪,莱奥纳多·本韦努蒂,弗兰科·奥卡利,恩里科·梅迪欧力,弗兰科·费里尼,赛尔乔·莱昂内","剧情,犯罪"
727104,克里斯托弗·诺兰,致命魔术 The Prestige,No.77,8.9,"乔纳森·诺兰,克里斯托弗·诺兰,克里斯托弗·普瑞丝特","剧情,悬疑,惊悚"
318534,路易·西霍尤斯,海豚湾 The Cove,No.76,9.3,马克·蒙雷,纪录片
comments_num,director,name,order,score,screenwriter,type
491372,北野武,菊次郎的夏天 菊次郎の夏,No.113,8.8,北野武,"剧情,喜剧"
303485,杨德昌,一一,No.112,9.1,杨德昌,"剧情,爱情,家庭"
539805,阿方索·卡隆,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,No.111,8.8,"史蒂夫·克洛夫斯,J·K·罗琳","奇幻,冒险"
536251,理查德·林克莱特,爱在黎明破晓前 Before Sunrise,No.110,8.8,"理查德·林克莱特,金·克里桑","剧情,爱情"
