comments_num,director,name,order,screenwriter,type_one,type_two,type_three,type_four,type_five,score
727104,克里斯托弗·诺兰,致命魔术 The Prestige,77,"乔纳森·诺兰,克里斯托弗·诺兰,克里斯托弗·普瑞丝特",剧情,悬疑,惊悚,无,无,9.1
349211,赛尔乔·莱昂内,美国往事 Once Upon a Time in America,78,"皮耶罗·德·贝纳迪,莱奥纳多·本韦努蒂,弗兰科·奥卡利,恩里科·梅迪欧力,弗兰科·费里尼,赛尔乔·莱昂内",剧情,犯罪,无,无,无,8.8
729798,乔纳森·戴米,沉默的羔羊 The Silence of the Lambs,79,"托马斯·哈里斯,泰德·塔里",剧情,惊悚,犯罪,无,无,8.8
805512,马丁·斯科塞斯,禁闭岛 Shutter Island,80,"莱塔·卡罗格里迪斯,丹尼斯·勒翰",剧情,悬疑,惊悚,无,无,8.8
789165,"埃里克·布雷斯,J·麦基·格鲁伯",蝴蝶效应 The Butterfly Effect,81,"J·麦基·格鲁伯,埃里克·布雷斯",剧情,科幻,悬疑,惊悚,无,9
701848,昆汀·塔伦蒂诺,低俗小说 Pulp Fiction,82,"昆汀·塔伦蒂诺,罗杰·阿夫瑞",剧情,喜剧,犯罪,无,无,8.8
595821,格斯·范·桑特,心灵捕手 Good Will Hunting,83,"本·阿弗莱克,马特·达蒙",剧情,无,无,无,无,8.7
755129,韦斯·安德森,布达佩斯大饭店 The Grand Budapest Hotel,84,"韦斯·安德森,雨果·吉尼斯,斯蒂芬·茨威格",剧情,喜剧,冒险,无,无,8.9
663606,大卫·叶茨,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,85,"史蒂夫·克洛夫斯,J·K·罗琳",奇幻,冒险,无,无,无,8.9
529119,王家卫,春光乍泄 春光乍洩,86,王家卫,剧情,爱情,同性,无,无,8.9
814039,大卫·芬奇,七宗罪 Se7en,87,安德鲁·凯文·沃克,剧情,悬疑,惊悚,犯罪,无,8.7
246172,查理·卓别林,摩登时代 Modern Times,88,查理·卓别林,剧情,喜剧,爱情,无,无,8.7
812242,"周星驰,李力持",喜剧之王 喜劇之王,89,"曾瑾昌,周星驰,李敏,郑文辉,冯勉恒,梁嘉杰",剧情,喜剧,爱情,无,无,8.9
615409,中岛哲也,被嫌弃的松子的一生 嫌われ松子の一生,90,"中岛哲也,山田宗树",剧情,歌舞,无,无,无,8.9
679405,詹姆斯·曼高德,致命ID Identity,91,迈克尔·库尼,剧情,悬疑,惊悚,无,无,8.9
575957,奉俊昊,杀人回忆 ??? ??,92,"奉俊昊,金光林,沈成宝",剧情,动作,悬疑,惊悚,犯罪,9.1
734219,戈尔·维宾斯基,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,93,"泰德·艾略特,特里·鲁西奥,斯图尔特·贝亚蒂耶,杰·沃尔伯特",动作,奇幻,冒险,无,无,8.9
917893,蒂姆·波顿,剪刀手爱德华 Edward Scissorhands,94,"蒂姆·波顿,卡罗琳·汤普森",剧情,爱情,奇幻,无,无,8.7
318095,托马斯·温特伯格,狩猎 Jagten,95,"托马斯·温特伯格,托比亚斯·林道赫姆",剧情,无,无,无,无,8.9
500486,梅尔·吉布森,勇敢的心 Braveheart,96,兰道尔·华莱士,剧情,动作,传记,历史,战争,8.7
362990,今敏,红辣椒 パプリカ,97,"水上清资,今敏,筒井康隆",科幻,动画,悬疑,惊悚,无,9.1
581093,卢卡·瓜达尼诺,请以你的名字呼唤我 Call Me by Your Name,98,"詹姆斯·伊沃里,安德列?艾席蒙",剧情,爱情,同性,无,无,9
461688,李焕庆,7号房的礼物 7??? ??,99,"李焕庆,刘英雅",剧情,喜剧,家庭,无,无,8.7
613908,李安,断背山 Brokeback Mountain,100,"拉里·麦克穆特瑞,黛安娜·奥撒纳,安妮·普鲁",剧情,爱情,同性,家庭,无,8.8
864101,让-皮埃尔·热内,天使爱美丽 Le fabuleux destin d'Amélie Poulain,101,"纪尧姆·洛朗,让-皮埃尔·热内",剧情,喜剧,爱情,无,无,8.8
878193,周星驰,功夫,102,"曾瑾昌,陈文强,周星驰,霍昕",喜剧,动作,犯罪,奇幻,无,8.7
430969,托尼·凯耶,超脱 Detachment,103,卡尔·隆德,剧情,无,无,无,无,8.8
